年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高三,61,98,88,70,53,73,57,70.0,丙
高一,70,55,96,65,91,75,94,75.0,丙
高三,94,95,56,91,56,97,92,92.0,甲
高三,58,82,95,78,61,89,75,78.0,丙
高二,84,83,50,81,84,98,57,83.0,丙
高一,90,85,66,81,75,75,69,75.0,丙
高二,55,96,90,95,96,86,57,90.0,甲
高三,78,63,90,62,68,99,83,78.0,丙
高一,87,76,99,88,92,71,67,87.0,乙
高二,52,84,81,61,51,65,93,65.0,丙
高三,53,74,73,61,58,99,90,73.0,丙
高二,78,69,59,96,100,89,86,86.0,乙
高三,62,69,95,71,54,68,68,68.0,丙
高二,59,61,98,71,99,72,99,72.0,丙
高三,94,87,91,52,98,69,86,87.0,乙
高一,79,50,97,81,61,50,54,61.0,丙
高一,85,71,82,80,67,83,96,82.0,丙
高二,97,85,69,96,79,86,89,86.0,乙
高三,69,60,50,50,68,57,96,60.0,丙
高二,76,50,84,71,58,50,79,71.0,丙
高三,79,93,74,95,57,63,68,74.0,丙
高二,74,85,54,53,72,79,68,72.0,丙
高二,52,84,75,79,90,69,50,75.0,丙
高一,69,81,50,89,91,86,78,81.0,丙
高三,66,98,61,66,89,65,100,66.0,丙
高二,56,80,74,91,92,72,74,74.0,丙
高二,77,85,92,63,77,57,53,77.0,丙
高一,67,64,75,86,89,61,57,67.0,丙
高三,89,53,63,88,52,82,50,63.0,丙
高三,60,51,52,67,91,70,84,67.0,丙
高二,83,94,82,65,76,95,62,82.0,丙
高一,95,76,65,84,54,76,93,76.0,丙
高二,70,54,81,99,87,65,72,72.0,丙
高三,86,99,84,77,50,89,88,86.0,乙
高三,77,54,78,70,68,91,56,70.0,丙
高一,89,91,60,50,62,91,77,77.0,丙
高一,77,64,86,98,67,52,50,67.0,丙
高一,80,78,77,72,85,59,78,78.0,丙
高三,53,51,95,61,68,61,52,61.0,丙
高二,63,85,62,83,53,62,95,63.0,丙
高三,52,92,98,54,89,100,96,92.0,甲
高二,79,68,53,89,51,81,76,76.0,丙
高一,75,56,78,74,93,66,53,74.0,丙
高一,97,70,86,84,53,82,89,84.0,丙
高三,51,54,95,66,60,86,79,66.0,丙
高一,57,99,50,77,93,66,53,66.0,丙
高一,67,99,50,62,74,58,92,67.0,丙
高三,71,56,77,96,89,96,74,77.0,丙
高二,99,95,73,88,57,99,87,88.0,乙
高二,95,63,86,69,84,80,81,81.0,丙
高一,65,67,67,74,83,55,75,67.0,丙
高一,61,95,59,80,97,56,55,61.0,丙
高三,67,92,92,91,92,78,75,91.0,甲
高三,54,56,51,93,92,85,90,85.0,乙
高一,84,73,92,52,62,67,78,73.0,丙
高三,88,64,86,68,99,69,100,86.0,乙
高二,79,100,91,60,60,78,96,79.0,丙
高三,65,90,63,78,93,59,64,65.0,丙
高二,71,89,74,73,90,58,58,73.0,丙
高三,92,77,95,57,59,60,92,77.0,丙
高三,87,95,85,76,61,94,70,85.0,乙
高一,61,71,53,76,63,99,91,71.0,丙
高三,93,56,53,71,59,62,76,62.0,丙
高一,88,67,87,95,56,93,86,87.0,乙
高一,51,91,67,62,95,66,59,66.0,丙
高三,80,60,78,75,66,66,59,66.0,丙
高一,54,84,89,84,99,100,50,84.0,丙
高三,78,80,50,72,75,73,70,73.0,丙
高二,57,80,72,75,72,58,72,72.0,丙
高二,81,86,89,79,89,60,87,86.0,乙
高一,78,76,50,69,55,58,56,58.0,丁
高一,93,91,96,75,90,53,97,91.0,甲
高一,83,87,53,78,54,59,71,71.0,丙
高一,82,99,60,56,95,90,88,88.0,乙
高二,60,56,87,57,92,72,97,72.0,丙
高二,77,67,92,54,56,90,62,67.0,丙
高一,82,80,67,56,57,86,52,67.0,丙
高三,85,94,81,63,93,74,80,81.0,丙
高一,71,96,56,58,60,100,76,71.0,丙
高二,88,88,99,67,90,74,62,88.0,乙
高三,94,50,50,97,94,81,97,94.0,甲
高二,57,61,52,86,64,67,61,61.0,丙
高二,71,82,82,99,96,54,76,82.0,丙
高二,67,53,56,56,58,55,64,56.0,丁
高一,96,69,90,62,64,68,70,69.0,丙
高三,82,58,63,50,53,52,97,58.0,丁
高二,94,93,79,61,75,66,97,79.0,丙
高二,93,86,99,88,72,88,53,88.0,乙
高一,76,87,75,67,52,70,63,70.0,丙
高三,94,98,85,67,65,69,85,85.0,乙
高一,80,56,63,59,79,82,68,68.0,丙
高二,99,91,77,69,69,73,83,77.0,丙
高二,70,57,78,51,85,55,66,66.0,丙
高三,98,94,62,66,72,99,99,94.0,甲
高二,83,69,93,75,93,58,70,75.0,丙
高二,59,96,73,53,95,51,53,59.0,丁
高三,94,93,81,65,92,88,56,88.0,乙
高三,50,78,93,73,61,71,72,72.0,丙
高二,88,52,81,51,77,89,100,81.0,丙
高三,64,65,65,73,61,95,97,65.0,丙
高一,70,99,82,95,61,98,79,82.0,丙
高一,60,56,55,89,89,98,81,81.0,丙
高二,86,75,77,56,82,93,94,82.0,丙
高三,68,66,76,73,50,90,97,73.0,丙
高三,91,66,95,71,50,55,55,66.0,丙
高一,53,77,81,85,67,95,51,77.0,丙
高一,88,82,82,87,92,83,91,87.0,乙
高二,89,84,65,51,96,54,95,84.0,丙
高二,96,84,94,83,92,91,57,91.0,甲
高二,82,87,64,90,57,88,78,82.0,丙
高一,93,66,73,79,66,98,83,79.0,丙
高三,95,88,98,54,64,64,100,88.0,乙
高二,73,53,95,64,97,100,95,95.0,甲
高一,70,75,71,59,83,72,85,72.0,丙
高三,68,94,59,96,54,80,56,68.0,丙
高二,77,51,52,65,78,80,78,77.0,丙
高二,52,56,51,86,65,88,51,56.0,丁
高一,61,80,58,55,87,68,94,68.0,丙
高二,60,68,97,85,74,84,75,75.0,丙
高二,99,51,58,63,63,69,82,63.0,丙
高二,94,87,92,78,66,87,53,87.0,乙
高一,51,71,59,84,85,91,73,73.0,丙
高三,80,92,52,98,64,55,70,70.0,丙
高三,100,81,99,60,86,70,67,81.0,丙
高二,89,94,98,52,85,62,91,89.0,乙
高二,74,86,89,56,61,55,51,61.0,丙
高三,77,92,66,65,58,89,99,77.0,丙
高二,67,76,58,100,73,53,85,73.0,丙
高二,64,66,69,67,58,76,88,67.0,丙
高三,77,59,65,93,89,82,77,77.0,丙
高三,72,79,60,69,76,75,76,75.0,丙
高一,60,91,65,81,63,73,62,65.0,丙
高二,51,77,88,86,83,59,61,77.0,丙
高一,59,67,91,82,95,61,74,74.0,丙
高二,79,62,94,97,79,91,82,82.0,丙
高一,72,50,97,73,59,57,65,65.0,丙
高二,77,84,97,80,100,69,86,84.0,丙
高二,92,88,89,60,83,80,99,88.0,乙
高一,99,90,57,52,89,83,91,89.0,乙
高二,97,74,57,100,86,58,99,86.0,乙
高三,55,78,83,51,64,88,86,78.0,丙
高二,87,71,90,75,82,57,95,82.0,丙
高二,90,98,92,72,75,62,93,90.0,甲
高二,77,89,94,98,87,57,68,87.0,乙
高三,90,62,67,94,56,62,90,67.0,丙
高三,94,70,60,62,80,90,99,80.0,丙
高三,67,87,99,60,60,65,93,67.0,丙
高三,97,56,77,56,98,50,90,77.0,丙
高一,73,68,62,72,81,84,79,73.0,丙
高二,92,77,72,50,99,58,59,72.0,丙
高二,70,68,95,61,50,91,65,68.0,丙
高一,71,50,90,68,69,56,73,69.0,丙
高三,74,57,91,75,99,57,64,74.0,丙
高三,89,89,74,72,72,88,56,74.0,丙
高一,99,62,66,85,70,64,67,67.0,丙
高一,68,83,57,100,98,60,86,83.0,丙
高一,60,91,97,89,70,70,100,89.0,乙
高三,90,96,87,63,74,65,97,87.0,乙
高一,79,77,91,60,51,98,50,77.0,丙
高二,65,83,59,93,55,100,92,83.0,丙
高三,91,67,67,53,73,55,63,67.0,丙
高二,69,85,66,55,100,54,53,66.0,丙
高三,77,83,94,92,89,95,71,89.0,乙
高三,81,61,72,91,63,53,81,72.0,丙
高二,86,54,88,98,91,52,90,88.0,乙
高一,68,76,62,66,91,89,89,76.0,丙
高三,89,99,82,93,89,94,74,89.0,乙
高一,90,83,63,72,79,59,88,79.0,丙
高一,75,84,76,94,82,68,98,82.0,丙
高二,68,56,100,74,65,53,58,65.0,丙
高三,63,67,68,76,51,60,90,67.0,丙
高三,53,54,55,64,98,82,57,57.0,丁
高二,97,83,51,64,92,94,53,83.0,丙
高一,84,54,85,50,96,54,99,84.0,丙
高三,95,67,100,73,81,68,98,81.0,丙
高一,57,67,69,52,96,56,87,67.0,丙
高二,85,84,79,67,83,87,66,83.0,丙
高三,53,65,83,86,54,87,57,65.0,丙
高二,61,89,91,52,67,74,59,67.0,丙
高二,80,50,84,84,65,87,94,84.0,丙
高一,78,98,74,65,58,60,98,74.0,丙
高一,66,71,65,95,74,86,73,73.0,丙
高一,50,84,64,63,88,89,91,84.0,丙
高二,57,60,70,51,95,67,72,67.0,丙
高一,70,63,56,79,97,98,63,70.0,丙
高三,61,55,79,88,53,100,58,61.0,丙
高二,85,60,74,56,65,93,52,65.0,丙
高二,82,90,60,57,57,78,57,60.0,丙
高二,81,66,68,63,67,88,97,68.0,丙
高三,83,85,83,71,53,77,82,82.0,丙
高一,88,50,84,89,73,91,88,88.0,乙
高三,55,97,87,85,73,56,70,73.0,丙
高二,87,95,90,57,73,60,85,85.0,乙
高二,86,90,98,71,87,94,50,87.0,乙
高二,76,73,86,56,98,78,70,76.0,丙
高一,86,68,51,83,70,94,93,83.0,丙
高三,62,62,90,50,81,78,100,78.0,丙
高一,91,51,99,70,70,94,85,85.0,乙
高三,61,76,95,63,84,57,64,64.0,丙
高一,66,98,53,87,90,64,72,72.0,丙
高三,61,74,55,56,69,54,83,61.0,丙
高一,53,98,86,51,77,71,51,71.0,丙
高一,91,77,86,79,66,92,100,86.0,乙
高一,64,74,82,81,51,93,65,74.0,丙
高三,96,51,66,74,63,57,52,63.0,丙
高三,96,56,71,92,72,80,62,72.0,丙
高二,69,84,66,95,92,90,51,84.0,丙
高三,53,80,66,81,86,66,51,66.0,丙
高一,56,74,93,90,71,80,90,80.0,丙
高二,64,86,88,54,70,91,67,70.0,丙
高二,94,97,72,92,57,97,86,92.0,甲
高一,90,63,86,85,98,83,72,85.0,乙
高三,81,51,76,96,81,78,83,81.0,丙
高一,50,80,50,53,82,58,93,58.0,丁
高三,83,59,56,68,54,89,96,68.0,丙
高三,79,94,50,57,54,56,96,57.0,丁
高三,100,74,58,87,60,95,62,74.0,丙
高一,91,63,76,65,73,68,69,69.0,丙
高一,51,65,59,74,84,74,94,74.0,丙
高三,67,99,61,77,60,52,53,61.0,丙
高三,67,64,66,66,96,79,91,67.0,丙
高一,61,71,75,58,90,69,92,71.0,丙
高三,94,94,98,63,87,99,67,94.0,甲
高三,85,74,81,66,71,100,99,81.0,丙
高二,67,58,97,88,74,95,59,74.0,丙
高一,50,54,97,87,84,93,93,87.0,乙
高一,74,60,87,71,71,71,84,71.0,丙
高一,78,87,50,51,90,79,53,78.0,丙
高一,72,82,91,92,84,66,55,82.0,丙
高二,93,64,76,64,69,67,73,69.0,丙
高三,89,70,52,64,98,51,52,64.0,丙
高三,92,95,54,69,84,94,72,84.0,丙
高二,69,98,63,88,85,75,59,75.0,丙
高二,90,67,79,78,70,77,56,77.0,丙
高一,52,82,86,75,99,92,53,82.0,丙
高一,89,90,72,58,77,93,75,77.0,丙
高二,69,77,64,71,64,87,56,69.0,丙
高三,97,57,57,70,72,64,89,70.0,丙
高三,81,69,97,76,80,72,64,76.0,丙
高一,77,100,98,100,98,60,90,98.0,甲
高二,74,53,83,60,85,72,85,74.0,丙
高三,98,93,74,60,90,100,99,93.0,甲
高一,58,69,79,59,88,81,87,79.0,丙
高二,56,58,65,82,52,92,81,65.0,丙
高二,68,91,97,100,79,97,62,91.0,甲
高一,91,73,83,73,58,96,95,83.0,丙
高三,77,98,57,73,82,77,77,77.0,丙
高一,67,71,53,94,81,82,74,74.0,丙
高一,74,77,79,71,89,90,88,79.0,丙
高二,94,50,61,69,62,94,82,69.0,丙
高一,83,50,65,74,89,57,94,74.0,丙
高一,97,100,83,98,90,99,98,98.0,甲
高一,85,92,69,56,82,93,60,82.0,丙
高一,96,91,58,51,57,57,94,58.0,丁
高三,91,82,60,100,96,80,86,86.0,乙
高三,73,57,73,80,82,71,97,73.0,丙
高二,76,82,80,80,64,82,87,80.0,丙
高一,94,87,62,50,52,84,67,67.0,丙
高二,82,71,55,67,51,71,60,67.0,丙
高三,100,93,94,59,50,84,73,84.0,丙
高二,89,73,69,53,56,85,85,73.0,丙
高三,98,75,60,99,92,64,80,80.0,丙
高二,74,98,87,82,51,59,79,79.0,丙
高二,79,91,66,53,56,90,67,67.0,丙
高三,65,70,79,67,61,90,58,67.0,丙
高二,76,81,82,61,88,62,88,81.0,丙
高二,61,99,68,95,73,66,64,68.0,丙
高一,54,85,83,99,71,72,68,72.0,丙
高一,54,50,99,96,87,71,95,87.0,乙
高一,55,97,93,82,61,94,79,82.0,丙
高三,54,96,91,68,58,94,91,91.0,甲
高一,89,81,86,83,92,99,87,87.0,乙
高一,86,57,89,59,74,51,97,74.0,丙
高二,80,87,75,78,81,79,85,80.0,丙
高二,97,65,55,59,73,76,93,73.0,丙
高一,92,86,60,97,94,85,50,86.0,乙
高二,81,86,80,53,81,77,85,81.0,丙
高一,85,50,71,61,67,89,100,71.0,丙
高一,78,63,57,95,50,98,83,78.0,丙
高三,99,56,60,61,60,57,74,60.0,丙
高三,72,88,87,94,50,54,57,72.0,丙
高一,65,99,68,95,78,80,86,80.0,丙
高三,69,83,55,97,88,80,51,80.0,丙
高二,88,70,70,72,53,72,79,72.0,丙
高一,90,83,71,58,93,84,79,83.0,丙
高二,53,89,53,88,51,74,92,74.0,丙
高一,66,99,89,84,71,84,89,84.0,丙
高三,87,90,66,75,80,85,68,80.0,丙
高二,78,74,72,79,98,76,99,78.0,丙
高一,63,97,68,51,85,92,100,85.0,乙
高一,54,56,56,81,83,84,68,68.0,丙
高三,82,75,68,82,56,93,79,79.0,丙
高一,74,61,50,78,99,87,64,74.0,丙
高二,75,51,81,93,64,70,90,75.0,丙
高二,83,84,62,99,69,52,67,69.0,丙
高二,95,86,54,74,82,95,75,82.0,丙
高三,91,85,75,68,53,84,97,84.0,丙
高三,77,67,70,76,84,91,67,76.0,丙
高一,68,86,93,91,63,60,62,68.0,丙
高三,56,69,86,96,59,58,95,69.0,丙
高一,57,95,72,68,71,97,61,71.0,丙
高三,72,63,69,70,79,54,52,69.0,丙
高三,66,66,57,81,62,63,85,66.0,丙
高三,86,100,69,97,96,100,62,96.0,甲
高一,63,75,97,93,86,94,86,86.0,乙
高二,94,79,61,75,81,55,60,75.0,丙
高三,74,74,66,80,85,97,62,74.0,丙
高二,67,57,57,64,91,79,50,64.0,丙
高三,92,76,99,57,57,56,64,64.0,丙
高一,76,61,67,59,84,85,90,76.0,丙
高三,95,63,95,61,88,81,87,87.0,乙
高三,99,84,55,87,67,74,74,74.0,丙
高二,82,69,86,98,87,54,71,82.0,丙
高二,89,50,83,53,96,91,89,89.0,乙
高二,62,71,63,98,88,74,54,71.0,丙
高一,98,85,69,76,87,96,50,85.0,乙
高一,89,85,96,94,78,59,93,89.0,乙
高一,100,63,50,54,80,79,57,63.0,丙
高三,54,57,92,58,50,70,56,57.0,丁
高二,81,85,86,80,87,91,60,85.0,乙
高一,86,93,88,93,52,80,82,86.0,乙
高二,90,74,55,78,100,89,93,89.0,乙
高二,84,56,66,61,62,58,96,62.0,丙
高一,85,56,71,65,98,64,84,71.0,丙
高三,58,70,62,84,53,90,75,70.0,丙
高三,92,82,84,73,65,74,94,82.0,丙
高二,92,98,71,92,92,82,63,92.0,甲
高一,72,57,56,80,94,85,91,80.0,丙
高一,92,50,63,88,88,96,90,88.0,乙
高一,75,71,97,98,62,73,89,75.0,丙
高二,84,62,87,61,67,83,92,83.0,丙
高三,67,63,96,71,95,74,81,74.0,丙
高一,91,52,75,90,75,66,98,75.0,丙
高一,61,82,63,90,58,86,79,79.0,丙
高一,66,53,94,75,80,78,94,78.0,丙
高二,97,85,69,78,85,79,87,85.0,乙
高二,89,84,68,87,57,71,81,81.0,丙
高三,81,63,97,91,51,77,68,77.0,丙
高二,79,66,93,83,89,69,78,79.0,丙
高一,82,90,91,91,89,89,82,89.0,乙
高二,68,76,50,67,89,73,53,68.0,丙
高二,59,77,85,91,53,76,99,77.0,丙
高二,93,69,66,93,85,92,85,85.0,乙
高三,82,82,63,50,71,79,63,71.0,丙
高三,95,95,52,95,79,72,57,79.0,丙
高三,94,54,78,92,71,98,93,92.0,甲
高一,76,98,82,62,80,50,95,80.0,丙
高二,51,91,66,98,57,91,56,66.0,丙
高三,98,61,93,79,71,67,68,71.0,丙
高三,72,63,69,95,61,63,83,69.0,丙
高二,73,81,63,54,96,70,91,73.0,丙
高一,81,56,78,88,83,81,55,81.0,丙
高二,100,76,67,99,68,97,94,94.0,甲
高一,73,70,78,65,60,82,95,73.0,丙
高一,94,67,51,89,79,73,57,73.0,丙
高三,78,53,63,96,57,98,92,78.0,丙
高二,64,87,60,62,53,75,92,64.0,丙
高一,53,95,81,61,100,58,69,69.0,丙
高三,89,97,74,54,84,90,73,84.0,丙
高二,55,68,57,93,65,54,99,65.0,丙
高三,63,99,67,89,72,52,52,67.0,丙
高三,62,69,52,69,76,72,57,69.0,丙
高二,72,82,96,68,70,84,77,77.0,丙
高二,61,75,58,88,56,73,78,73.0,丙
高二,77,92,56,56,82,61,74,74.0,丙
高二,66,94,83,79,84,59,80,80.0,丙
高一,92,67,71,61,55,66,71,67.0,丙
高三,72,68,66,93,55,74,50,68.0,丙
高一,51,53,70,73,94,98,84,73.0,丙
高一,67,51,59,50,66,79,56,59.0,丁
高二,97,90,59,82,61,55,64,64.0,丙
高一,86,52,84,92,89,98,96,89.0,乙
高一,72,70,54,67,80,78,71,71.0,丙
高一,75,99,96,75,67,53,66,75.0,丙
高三,94,69,80,61,72,84,98,80.0,丙
高三,59,51,67,99,89,76,64,67.0,丙
高二,52,86,50,90,86,91,66,86.0,乙
高一,69,88,82,92,82,84,96,84.0,丙
高三,99,97,69,100,69,70,58,70.0,丙
高一,54,79,87,54,81,98,68,79.0,丙
高二,76,54,60,96,97,62,99,76.0,丙
高三,91,61,56,78,56,93,68,68.0,丙
高二,55,89,57,62,95,61,63,62.0,丙
高一,65,92,96,96,64,50,85,85.0,乙
高一,74,81,75,77,51,74,58,74.0,丙
高二,80,89,61,69,86,72,55,72.0,丙
高三,62,57,84,95,100,77,93,84.0,丙
高二,70,52,91,70,61,83,61,70.0,丙
高二,91,59,72,79,63,66,93,72.0,丙
高二,74,99,58,81,51,61,60,61.0,丙
高一,83,82,52,57,94,50,72,72.0,丙
高一,83,91,68,80,70,80,59,80.0,丙
高二,68,75,52,87,50,96,98,75.0,丙
高三,95,82,82,82,71,90,55,82.0,丙
高三,60,65,55,66,59,94,52,60.0,丙
高三,98,72,61,74,55,82,71,72.0,丙
高一,65,73,97,73,52,73,71,73.0,丙
高一,82,67,88,68,59,66,68,68.0,丙
高三,81,91,57,93,62,52,52,62.0,丙
高二,65,65,94,88,71,80,67,71.0,丙
高三,91,79,91,93,79,86,74,86.0,乙
高一,50,74,90,93,70,71,75,74.0,丙
高二,50,79,59,99,90,55,73,73.0,丙
高三,85,88,52,71,57,88,61,71.0,丙
高三,95,72,81,70,63,82,92,81.0,丙
高三,70,63,62,64,70,81,99,70.0,丙
高三,98,69,70,80,52,77,99,77.0,丙
高二,88,93,90,97,83,50,85,88.0,乙
高二,55,68,86,86,70,96,96,86.0,乙
高三,57,96,74,73,88,74,86,74.0,丙
高一,51,96,97,56,71,92,96,92.0,甲
高一,91,68,87,95,78,84,60,84.0,丙
高一,84,85,80,96,70,60,78,80.0,丙
高三,57,95,54,84,63,58,66,63.0,丙
高一,72,86,50,79,94,58,55,72.0,丙
高二,65,94,54,85,76,60,93,76.0,丙
高三,66,96,66,69,53,59,90,66.0,丙
高二,84,80,85,75,70,69,66,75.0,丙
高二,84,73,99,96,66,75,73,75.0,丙
高三,57,51,90,100,71,97,65,71.0,丙
高二,93,75,69,89,83,65,58,75.0,丙
高二,77,88,71,68,85,94,58,77.0,丙
高一,53,50,59,82,100,56,54,56.0,丁
高三,68,90,92,73,93,77,94,90.0,甲
高一,76,75,99,75,70,54,82,75.0,丙
高一,52,90,60,88,57,56,93,60.0,丙
高三,56,86,79,80,63,87,70,79.0,丙
高一,76,75,86,69,67,53,97,75.0,丙
高三,84,88,88,52,81,100,51,84.0,丙
高二,54,51,66,64,90,92,71,66.0,丙
高一,84,91,59,95,54,70,62,70.0,丙
高三,63,81,77,95,90,94,64,81.0,丙
高二,63,100,62,99,96,57,63,63.0,丙
高二,96,91,99,80,94,62,98,94.0,甲
高二,96,94,83,55,67,56,77,77.0,丙
高三,62,60,65,91,64,89,83,65.0,丙
高三,81,78,62,62,50,65,82,65.0,丙
高三,70,95,64,92,89,71,72,72.0,丙
高一,78,99,64,51,70,73,70,70.0,丙
高三,54,97,53,91,56,78,82,78.0,丙
高二,57,66,76,82,83,78,54,76.0,丙
高二,90,96,77,70,52,100,69,77.0,丙
高三,77,62,73,86,68,56,91,73.0,丙
高二,66,60,71,80,75,86,50,71.0,丙
高二,91,51,90,63,65,100,80,80.0,丙
高一,81,54,58,78,95,72,65,72.0,丙
高三,87,77,80,71,54,70,92,77.0,丙
高二,98,100,82,84,97,97,98,97.0,甲
高三,82,73,79,94,53,71,78,78.0,丙
高三,88,63,97,85,87,71,98,87.0,乙
高三,55,97,67,77,77,61,93,77.0,丙
高三,59,84,90,86,65,65,84,84.0,丙
高一,82,52,76,97,77,93,74,77.0,丙
高一,53,71,99,76,69,77,56,71.0,丙
高三,95,65,69,85,87,82,85,85.0,乙
高二,55,68,52,83,84,96,92,83.0,丙
高二,84,59,94,69,93,72,93,84.0,丙
高三,65,57,55,88,70,89,90,70.0,丙
高一,85,82,96,58,66,74,58,74.0,丙
高二,56,76,98,51,63,67,99,67.0,丙
高三,53,85,90,73,94,54,60,73.0,丙
高一,88,70,95,74,94,94,56,88.0,乙
高三,72,88,62,87,58,84,77,77.0,丙
高二,72,66,63,89,59,56,54,63.0,丙
高一,75,50,52,94,75,64,56,64.0,丙
高二,89,87,85,55,63,65,91,85.0,乙
高二,65,66,80,58,66,88,54,66.0,丙
高三,94,87,72,86,88,79,62,86.0,乙
高二,89,91,74,69,95,80,80,80.0,丙
高二,77,64,64,71,57,55,65,64.0,丙
高一,55,62,77,100,78,90,82,78.0,丙
高二,73,53,65,55,56,73,79,65.0,丙
高一,93,78,67,51,55,100,100,78.0,丙
高三,80,95,64,70,54,62,99,70.0,丙
高三,73,94,90,96,84,93,95,93.0,甲
高一,71,52,98,65,70,79,94,71.0,丙
高一,65,97,75,77,51,66,67,67.0,丙
高一,77,73,78,57,81,62,67,73.0,丙
高二,62,52,97,66,53,51,54,54.0,丁
高三,68,83,80,95,71,89,65,80.0,丙
高一,55,73,90,57,86,55,59,59.0,丁
高一,57,58,73,51,61,75,89,61.0,丙
高二,86,54,64,78,68,97,89,78.0,丙
高二,52,57,94,52,61,51,100,57.0,丁
高二,85,99,55,52,89,99,66,85.0,乙
高二,63,87,85,97,57,67,54,67.0,丙
高三,90,65,59,61,94,53,94,65.0,丙
高二,72,60,65,98,99,58,94,72.0,丙
高三,58,95,98,61,60,59,65,61.0,丙
高三,76,93,78,81,88,85,70,81.0,丙
高一,100,96,97,60,74,94,55,94.0,甲
高二,95,100,100,58,66,100,55,95.0,甲
高三,65,58,69,94,64,63,91,65.0,丙
高一,90,69,73,99,66,66,98,73.0,丙
高一,51,63,77,100,73,97,94,77.0,丙
高三,88,69,74,93,67,76,54,74.0,丙
高二,60,83,80,83,77,98,70,80.0,丙
高二,91,95,58,87,66,83,99,87.0,乙
高一,77,61,76,82,77,79,99,77.0,丙
高三,70,99,54,98,95,98,68,95.0,甲
高三,94,87,83,99,73,58,74,83.0,丙
高二,82,69,81,90,53,74,78,78.0,丙
高二,60,86,95,61,62,80,90,80.0,丙
高三,50,65,73,96,83,58,59,65.0,丙
高二,54,77,69,59,79,54,99,69.0,丙
高二,66,90,79,74,81,78,55,78.0,丙
高一,58,94,73,90,97,64,88,88.0,乙
高二,79,74,63,62,85,83,61,74.0,丙
高一,76,77,91,86,62,73,61,76.0,丙
高二,86,64,58,60,78,89,82,78.0,丙
高一,83,86,59,72,61,75,77,75.0,丙
高二,91,69,72,89,63,77,52,72.0,丙
高二,84,95,80,66,76,92,87,84.0,丙
高三,78,62,98,69,99,90,72,78.0,丙
高三,91,71,59,58,87,85,93,85.0,乙
高三,67,82,91,58,79,56,82,79.0,丙
高三,82,74,89,79,83,65,61,79.0,丙
高一,68,94,64,66,55,77,91,68.0,丙
高一,99,62,71,55,73,72,57,71.0,丙
高一,58,76,100,56,69,76,63,69.0,丙
高二,55,76,79,93,54,74,97,76.0,丙
高一,96,69,100,81,76,86,97,86.0,乙
高二,65,59,75,51,61,51,63,61.0,丙
高三,96,68,64,71,87,71,94,71.0,丙
高一,60,71,58,69,88,81,50,69.0,丙
高二,100,97,99,92,75,58,90,92.0,甲
高三,90,73,64,95,100,51,76,76.0,丙
高三,90,81,79,87,65,86,68,81.0,丙
高二,84,70,78,73,76,81,66,76.0,丙
高三,77,97,93,96,91,82,81,91.0,甲
高一,87,58,52,66,64,59,67,64.0,丙
高一,99,77,60,92,52,76,82,77.0,丙
高二,68,64,71,94,77,60,94,71.0,丙
高三,76,76,87,88,67,69,83,76.0,丙
高三,59,57,79,51,57,81,68,59.0,丁
高二,62,76,72,70,78,72,67,72.0,丙
高三,54,83,97,78,87,77,85,83.0,丙
高二,86,91,90,89,54,88,65,88.0,乙
高二,70,69,73,67,57,77,81,70.0,丙
高二,67,59,56,85,97,74,95,74.0,丙
高一,60,88,79,67,84,91,85,84.0,丙
高一,71,79,93,58,59,82,98,79.0,丙
高一,91,63,97,86,71,53,88,86.0,乙
高一,63,90,51,76,79,97,54,76.0,丙
高一,75,90,65,83,81,88,93,83.0,丙
高二,93,77,77,57,71,82,74,77.0,丙
高三,69,100,66,83,72,96,75,75.0,丙
高三,71,80,100,96,84,91,79,84.0,丙
高三,69,84,86,93,94,80,70,84.0,丙
高三,69,59,59,99,56,92,82,69.0,丙
高二,71,75,96,76,79,84,62,76.0,丙
高一,88,77,57,80,55,70,65,70.0,丙
高三,60,61,82,56,66,100,96,66.0,丙
高三,53,94,90,75,85,54,54,75.0,丙
高二,52,84,68,74,97,59,51,68.0,丙
高三,54,61,99,66,85,88,71,71.0,丙
高三,68,72,90,88,56,67,74,72.0,丙
高一,86,82,54,90,63,73,64,73.0,丙
高三,57,88,65,52,97,76,50,65.0,丙
高三,99,51,71,99,56,85,96,85.0,乙
高一,64,58,89,94,87,77,64,77.0,丙
高一,93,54,80,59,83,91,74,80.0,丙
高一,70,97,66,89,51,70,87,70.0,丙
高一,52,93,67,51,73,83,78,73.0,丙
高一,66,50,83,50,87,79,56,66.0,丙
高三,82,76,62,84,73,97,63,76.0,丙
高二,67,95,67,96,87,72,97,87.0,乙
高二,58,83,75,85,61,90,51,75.0,丙
高一,62,74,90,79,86,57,61,74.0,丙
高三,94,78,53,64,62,80,77,77.0,丙
高三,87,91,77,74,90,93,91,90.0,甲
高一,90,96,100,63,75,98,83,90.0,甲
高一,90,61,71,63,77,50,80,71.0,丙
高三,91,87,87,93,90,51,80,87.0,乙
高二,87,79,51,96,86,71,64,79.0,丙
高三,63,77,65,72,85,76,95,76.0,丙
高二,50,99,88,100,94,90,80,90.0,甲
高二,62,84,59,80,57,86,72,72.0,丙
高二,89,71,53,57,80,65,89,71.0,丙
高三,54,99,71,53,73,58,87,71.0,丙
高二,73,84,63,66,94,86,94,84.0,丙
高三,60,73,97,85,84,65,52,73.0,丙
